Stage Name,Full Name,Korean Name,K Stage Name,Date of Birth,Group,Debut,Company,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender,Age
Kio,Udo Musashi,우도 무사시,키오,2004-11-28,T1419,21/09/2007,CJ E&M,South Korea,,,,,,,M,22.0
Kiseop,Lee Kiseop,이기섭,기섭,1991-01-17,U-KISS,28/08/2008,NH Media,South Korea,,,,Seongnam,,,M,35.0
Kisu,Choi Kisu,최기수,기수,1990-10-02,24K,6/09/2012,Choeun,South Korea,,179.0,60.0,Seoul,,,M,36.0
Kiwon,Lee Kiwon,이기원,기원,1996-06-27,GIDONGDAE,3/04/2013,Simtong,South Korea,,170.0,,,,RAINZ,M,30.0
Kokoro,Kato Kokoro,카토 코코로,코코로,2000-11-01,,,,Japan,,,,,,Cherry Bullet,F,26.0
Kongyeol,Go Minsoo,고민수,고결,1996-05-19,UP10TION,10/09/2015,TOP Media,South Korea,,,,Bucheon,,,M,30.0
Kongyoo,Kong Yoojin,공유진,공유,2001-05-11,Bonus Baby,1/01/2017,Maroo,South Korea,,163.0,,,,,F,25.0
Kookheon,Kim Kookheon,김국헌,국헌,1997-04-15,B.O.Y,20/01/2020,Music Works,South Korea,,,,,,MYTEEN,M,29.0
Kotone,Kamimoto Kotone,카미모토 코토네,코토네,2004-03-10,tripleS,13/02/2023,MODHAUS,Japan,,162.0,,Tokyo,,,F,22.0
Kriesha Chu,Kriesha Ziskind Teo Tiu,크리샤 지스킨드 테오 티우,크리샤 츄,1998-12-20,,,,Philippines,,,,Cebu,,,F,28.0
Kris,Wu Yifan,오역범,크리스,1990-11-06,,,,Canada,China,187.0,73.0,Guangzhou,,EXO,M,36.0
Krystal,Krystal Jung,크리스탈 정,크리스탈,1994-10-24,f(x),5/09/2009,SM,South Korea,,165.0,,San Francisco,,,F,32.0
Kuhn,Noh Sooil,노수일,쿤,1995-11-11,UP10TION,10/09/2015,TOP Media,South Korea,,,,Ansan,,,M,31.0
Kun,Qian Kun,첸쿤,쿤,1996-01-01,NCT,9/04/2016,SM,China,,,,,,,M,30.0
Kwanghee,Hwang Kwanghee,황광희,광희,1988-08-25,ZE:A,7/01/2010,Star Empire,South Korea,,,,Paju,,,M,38.0
Kwangjin,Kwon Kwangjin,권광진,광진,1992-08-12,N.Flying,20/05/2015,FNC,South Korea,,,,Seoul,,CNBLUE,M,34.0
Kwangmin,Jo Kwangmin,조광민,광민,1995-04-24,Boyfriend,26/05/2011,Starship,South Korea,,180.0,,Anyang,,,M,31.0
Kyeongheon,Yoon Kyeongheon,윤경헌,경헌,1998-01-06,We In The Zone,27/05/2019,Choon,South Korea,,175.0,60.0,Suncheon,,,M,28.0
Kyla,Kyla Massie,카일라 매시,카일라,2001-12-26,Pristin,21/03/2017,Pledis,USA,South Korea,,,California,,,F,25.0
Kyle,Ma Jaekyung,마재경,카일,1997-01-15,Romeo,4/11/2015,CT,South Korea,,,,,,,M,29.0
Kyrin,Park Geumju,박금주,카이린,2000-02-23,Girls' World,20/06/2002,Liz,South Korea,,156.0,,Daejeon,,,F,26.0
Kyuhwan,Lee Kyuhwan,이규환,규환,1994-09-18,SIGNAL,28/08/2019,J-Star,South Korea,,,,,,E7,M,32.0
Kyuhyuk,Shim Kyuhyuk,심규혁,규혁,1995-01-11,Hot Blood Youth,17/05/2017,FNC,South Korea,,,,,,,M,31.0
Kyuhyun,Cho Kyuhyun,조규현,규현,1988-02-03,Super Junior,6/11/2005,SM,South Korea,,180.0,68.0,Seoul,Super Junior-M,,M,38.0
Kyujin,Jang Kyujin,장규진,규진,2006-05-26,NMIXX,22/02/2022,JYP,South Korea,,,,,,,F,20.0
Kyulkyung,Zhou Jieqiong,저우제충,결경,1998-12-16,Pristin,21/03/2017,Pledis,China,,167.0,49.0,Taizhou,I.O.I| Pristin V,,F,28.0
Kyungho,Jang Kyungho,장경호,경호,2001-05-07,TOO,1/04/2020,n.CH,South Korea,,,,,,,M,25.0
Kyungil,Song Kyungil,송경일,경일,1987-11-28,HISTORY,26/04/2013,LOEN,South Korea,,183.0,72.0,,,,M,39.0
Kyungjun,Woo Kyungjun,우경준,경준,2002-08-30,TNX,17/05/2022,P NATION,South Korea,,,,Seoul,,,M,24.0
Kyungmin,Jo Kyungmin,조경민,경민,2004-10-28,8TURN,30/01/2023,MNH,South Korea,,187.0,60.0,Gyeonggi,,,M,22.0
Kyungmun,Lim Kyungmun,임경문,경문,2003-06-29,YOUNITE,20/04/2022,Brand New,South Korea,,,,,,,M,23.0
Kyungri,Park Kyungri,박경리,경리,1990-07-05,9Muses,12/08/2010,Star Empire,South Korea,,170.0,50.0,Busan,9MUSES A,,F,36.0
Kyungyoon,Lee Kyungyoon,이경윤,경윤,2000-02-21,Dongkiz,24/04/2019,Dongyo,South Korea,,177.0,58.0,,,,M,26.0
L,Kim Myungsoo,김명수,엘,1992-03-13,Infinite,9/06/2010,Woollim,South Korea,,180.0,60.0,Seoul,Infinite F,,M,34.0
L.Joe,Lee Byunghun,이병헌,엘조,1993-11-23,,,,South Korea,,,,Gunsan,,Teen Top,M,33.0
Lai Kuanlin,Lai Kuanlin,라이관린,라이관린,2001-09-23,Wanna One,7/08/2017,YMC,Taiwan,,,,New Taipei,,,M,25.0
Laon,Shin Kyuhyun,신규현,라온,1995-12-19,ENOi,19/04/2019,KITHEWHALE,South Korea,,177.0,60.0,,,,M,31.0
Lara,Moon Shinae,문신애,라라,2000-08-09,Dreamnote,7/11/2018,iME,South Korea,,161.0,44.0,,,,F,26.0
Laun,Kim Minseok,김민석,라운,1999-08-12,,,,South Korea,,,,Seongsan,,ONF,M,27.0
Lay,Zhang Yixing,장이씽,레이,1991-10-07,EXO,8/04/2012,SM,China,,177.0,60.0,Changsa,,,M,35.0
Layeon,Lee Jimin,이지민,라연,1998-08-13,Purplebeck,24/06/2019,Majesty,South Korea,,170.0,51.0,,,,F,28.0
LE,Ahn Hyejin,안효진,엘리,1991-12-10,EXID,16/02/2012,Yedang,South Korea,,168.0,,Cheonan,,,F,35.0
Lea,Ogawa Mizuki,오가와 미즈키,레아,1995-08-12,SECRET NUMBER,19/05/2020,Vine,Japan,,169.0,,Tokyo,,Skarf,F,31.0
Lee Haein,Lee Haein,이해인,이해인,1992-07-04,I.B.I,29/10/2014,Star Crew,South Korea,,165.0,49.0,Changwon,,,F,34.0
Lee Hoo,Moon Junyoung,문준영,,1989-02-09,ZE:A,7/01/2010,Star Empire,South Korea,,,,Seoul,,,M,37.0
Lee Hyeop,Lee Hyeop,이협,이협,1999-08-13,DRIPPIN,26/10/2020,Woollim,South Korea,,177.0,57.0,,,,M,27.0
Lee Jin,Shim Yerin,심예린,이진,2001-03-12,Hi-L,11/08/2021,Kpop Live,South Korea,,,,,,,F,25.0
Lee Joon,Lee Changseon,이창선,이준,1988-02-07,,,,South Korea,,,,Seoul,,MBLAQ,M,38.0
Lee Know,Lee Minho,이민호,리노,1998-10-25,Stray Kids,25/03/2018,JYP,South Korea,,,,Gimpo,,,M,28.0
Lee Soo,Jin Isoo,진이수,이수,2001-06-27,PRECIOUS,23/09/2020,Umi,South Korea,,163.0,47.0,Incheon,,,F,25.0
Lee Suhyun,Lee Suhyun,이수현,이수현,1996-11-05,I.B.I,29/10/2014,Star Crew,South Korea,,167.0,50.0,Ansan,,,F,30.0
Leedo,Kim Geonhak,김건학,이도,1997-07-26,Oneus,9/01/2019,RBW,South Korea,,,,,,,M,29.0
Leeseo,Lee Hyunseo,이현서,이서,2007-02-21,IVE,1/12/2021,Starship,South Korea,,170.0,48.0,,,,F,19.0
Leeteuk,Park Jeongsu,박정수,이특,1983-07-01,Super Junior,6/11/2005,SM,South Korea,,179.0,59.0,Seoul,,,M,43.0
Leia,Larissa Kartes,라리사 카르치스,레아,2001-05-14,Blackswan,16/10/2020,DR,Brazil,Japan,,,Curitiba,,,F,25.0
Lena,Kang Rena,강레나,레나,2002-04-17,GWSN,5/09/2018,Kiwi Pop,South Korea,,,,,,,F,24.0
Leo,Hayase Leo,하야세 레오,레오,2002-10-08,T1419,21/09/2007,CJ E&M,Japan,,,,,,,M,24.0
Leo,Jung Taekwon,정택운,레오,1990-11-10,VIXX,24/05/2012,Jellyfish,South Korea,,183.0,63.0,Seoul,VIXX LR,,M,36.0
Leon,Kim Donghyun,김동현,리온,2000-07-25,TRENDZ,5/01/2022,Interpark,South Korea,,,,,,,M,26.0
Lew,Lee Euiwoong,이의웅,루,2001-04-05,TEMPEST,2/03/2022,Yuehua,South Korea,,170.0,55.0,,HyeongseopXEuiwoong,,M,25.0
Lex,Jeon Hyungmin,전형민,렉스,1993-01-12,Bigflo,19/07/2014,HO,South Korea,,,,,,,M,33.0
Lia,Choi Jisu,최지수,리아,2000-07-21,ITZY,12/02/2019,JYP,South Korea,,,,Incheon,,,F,26.0
Lien,Shimada Sho,시마다 쇼,리안,1998-03-11,Mirae,17/03/2021,DSP,Japan,,,,Osaka,,,M,28.0
Lily,Lily Jin Morrow,릴리 진 머로우,릴리,2002-10-17,NMIXX,22/02/2022,JYP,Australia,South Korea,,,Marysville,,,F,24.0
Lim Jimin,Lim Jimin,임지민,임지민,2001-05-22,JUST B,30/06/2021,Bluedot,South Korea,,178.0,59.0,,,,M,25.0
Lime,Kim Hyerim,김혜림,라임,1993-01-19,Hello Venus,9/05/2012,Fantagio,South Korea,,169.0,50.0,,,,F,33.0
Lin Lin,Huang Ziting,황자정,린린,2003-07-05,,,,Taiwan,,,,,,Cherry Bullet,F,23.0
Lina,Oh Sejin,오세진,리나,1997-07-27,ANS,16/09/2019,ANS,South Korea,,,,,,,F,29.0
Lina,Oh Hyesoo,오혜수,리나,1997-05-23,RedSquare,19/05/2020,About,South Korea,,,,,,,F,29.0
Linzy,Im Minji,임민지,린지,1989-10-22,Fiestar,31/08/2012,LOEN,South Korea,,168.0,,Incheon,,,F,37.0
Lisa,Pranpriya Manoban,쁘란쁘리야 마노반,리사,1997-03-27,BLACKPINK,8/08/2016,YG,Thailand,,170.0,46.0,Bangkok,,,F,29.0
Liv,Kim Chaeyoung,김채영,리브,1997-07-05,IRRIS,6/07/2022,Mellow,South Korea,,,,Gunsan,,Good Day| RedSquare,F,29.0
Liyah,Moon Liya,문리야,리야,2000-05-11,MIXX,2/05/2016,Chiko,South Korea,,175.0,52.0,,,,F,26.0
Liz,Kim Jiwon,김지원,리즈,2004-11-21,IVE,1/12/2021,Starship,South Korea,,170.0,49.0,,,,F,22.0
Lizzy,Park Sooyoung,박수영,리지,1992-07-31,After School,15/01/2009,Pledis,South Korea,,,,Busan,Orange Caramel,,F,34.0
Loha,Kang Yejin,강예진,로하,2001-12-27,Nature,3/08/2018,n.CH,South Korea,,171.0,,,,,F,25.0
Lola,Choi Yoojung,최유정,로라,2001-02-22,Pixy,24/02/2021,ALLART,South Korea,,169.0,,,,,F,25.0
Longguo,Jin Longguo,진룽궈,룽궈,1996-03-02,JBJ,18/10/2017,Fave,China,,,,Heilong,,,M,30.0
Lou,Kim Hosung,김호성,로우,1996-12-21,VAV,31/10/2015,A team,South Korea,,187.0,69.0,,,,M,30.0
Loudi,Won Jihoon,원지훈,로우디,1996-04-13,14U,17/04/2017,BG,Indonesia,South Korea| China,,,,,,M,30.0
Louis,Kim Taewoo,김태우,루이,1999-04-23,BLANK2Y,24/05/2022,Keystone,South Korea,,172.0,62.0,,,1the9,M,27.0
Louis,Yang Dongsik,양동식,루이,2001-04-08,Kingdom,18/02/2021,GF,South Korea,,,,,,,M,25.0
Love,Park Jisung,박지성,러브,1994-01-17,,,,South Korea,,,,,,OnlyOneOf,M,32.0
Lu,Im Hayoung,임하영,루,1997-12-03,NATURE,3/08/2018,n.CH,South Korea,,,,,,,F,29.0
LuA,Jo Hankyeung,조한경,루아,1991-09-14,BADKIZ,24/03/2014,Zoo,South Korea,,,,Busan,,,F,35.0
Lua,Kim Sookyung,김수경,루아,2000-10-06,Weki Meki,8/08/2017,Fantagio,South Korea,,,,,,,F,26.0
Lucas,Wong Junghei,웡육헤이,루카스,1999-01-25,NCT,9/04/2016,SM,Hong Kong,,,,,SuperM,,M,27.0
Lucy,Noh Hyojung,노효정,루시,2002-08-31,Weki Meki,8/08/2017,Fantagio,South Korea,,,,Goyang,,,F,24.0
Lucy,Kim Daeun,김대은,루시,2004-04-09,woo!ah!,15/05/2020,NV,South Korea,,,,,,,F,22.0
Luda,Lee Luda,이루다,루다,1997-03-06,WJSN,25/02/2016,Starship,South Korea,,157.0,,Seoul,WJSN Chocome| WJMK,,F,29.0
Luha,Lee Gyeonghun,이경훈,루하,1993-02-15,14U,17/04/2017,BG,South Korea,,,,,,,M,33.0
Luhan,Lu Han,루한,루한,1990-04-20,,,,China,,178.0,62.0,Haidian,,EXO,M,36.0
Luna,Park Sunyoung,박선영,루나,1993-08-12,f(x),5/09/2009,SM,South Korea,,162.0,,Seoul,,,F,33.0
Lune,Jung Sungmin,정성민,룬,2000-02-27,DKB,3/02/2020,Brave,South Korea,,176.0,55.0,,,,M,26.0
Lutan,Choi Gyeongseok,최경석,루탄,2003-12-06,BLITZERS,12/05/2021,Wuzo,South Korea,,,,,,,M,23.0
Manny,Syo Dongchun,쇼동청,만니,2001-11-17,VARSITY,5/01/2017,GKC,China,,170.0,64.0,,,,M,25.0
Marco,Lee Hyunggeun,이형근,마르코,1994-05-11,Hot Blood Youth,17/05/2017,FNC,South Korea,,,,,,,M,32.0
Marin,Yasufuku Marin,야스후쿠 마린,마린,2001-03-17,Bling Bling,17/11/2020,Major9,Japan,,,,Osaka,,,F,25.0
Mark,Mark Yien Tuan,마크 이엔 투안,마크,1993-09-04,GOT7,16/01/2014,JYP,USA,Taiwan,175.0,59.0,Los Angeles,,,M,33.0
Mark,Mark Lee,마크 리,마크,1999-08-02,NCT,9/04/2016,SM,Canada,,,,Vancouver,NCT U| NCT 127| NCT Dream| SuperM,,M,27.0
Mashiho,Takata Mashiho,타카타 마시호,마시호,2001-03-25,Treasure,7/08/2020,YG,Japan,,,,,,,M,25.0
Mashiro,Sakamoto Mashiro,사카모토 마시로,마시로,1999-12-16,Kep1er,1/03/2022,WakeOne,Japan,,157.0,,,,,F,27.0
Max Changmin,Shim Changmin,심창민,최강창민,1988-02-18,TVXQ,6/09/1995,MBK| Turbo Co.,South Korea,,,,Seoul,,,M,38.0
May,Jeong Chaeyoung,정채영,메이,2001-07-27,,,,South Korea,,,,,,NeonPunch,F,25.0
May,Hirokawa Mao,히로카와 마오,메이,2004-11-16,Cherry Bullet,21/01/2019,FNC,Japan,,,,,,,F,22.0
Mayna,Shaoxi Mengna,,메이나,2000-05-12,HOT ISSUE,17/05/2017,FNC,China,Romania,170.0,47.0,,,,F,26.0
Medic Jin,Bae Yujin,배유진,메딕진,1996-08-25,Girlkind,16/01/2018,Nextlevel,South Korea,,,167.0,,,,F,30.0
Meiqi,Meng Meiqi,멍메이치,미기,1998-10-15,,,,China,,164.0,,Luoyang,,WJSN,F,28.0
Mia,Han Eunji,한은지,미아,2000-01-13,Everglow,18/03/2019,Yuehua,South Korea,,,,,,,F,26.0
Mia,Son Hyunmi,손현미,미아,1997-12-31,MIXX,2/05/2016,Chiko,South Korea,,174.0,,,,,F,29.0
Mihee,Lee Mihee,이미희,미희,2000-08-24,BOTOPASS,26/08/2020,WKS ENE,South Korea,,,,,,,F,26.0
Mijoo,Lee Mijoo,이미주,미주,1994-09-23,Lovelyz,17/11/2014,Woollim,South Korea,,167.0,47.0,Okcheon,,,F,32.0
Mikey,Morisaki Daisuke,모리사키 다이스케,마이키,2001-05-05,BLANK2Y,24/05/2022,Keystone,Japan,,176.0,58.0,Hyogo,,,M,25.0
Miko,Matsuda Miko,마츠다 미코,미코,1995-10-28,Honey Popcorn,21/03/2018,Kyun Create,Japan,,,,,,,F,31.0
Miku,Katae Miku,카타에 미쿠,미쿠,2002-10-09,Pink Fantasy,28/10/2018,My Doll,Japan,,,,,,,F,24.0
Mill,Lee Yongsoo,이용수,밀,1999-03-30,OnlyOneOf,28/05/2019,RSVP,South Korea,,,,,,,M,27.0
Milo,Kim Minhak,김민학,마일로,1996-08-20,Romeo,4/11/2015,CT,South Korea,,,,,,,M,30.0
Mimi,Jung Mimi,정미미,미미,1993-01-01,Gugudan,28/06/2016,Jellyfish,South Korea,,163.0,,,,,F,33.0
Mimi,Kim Mihyun,김미현,미미,1995-05-01,Oh My Girl,21/04/2015,WM,South Korea,,163.0,50.0,Jeju,,,F,31.0
Min,Lee Minyoung,이민영,민,1991-06-21,miss A,1/07/2010,JYP,South Korea,,161.0,,Seoul,,,F,35.0
Min,Lee Mincheon,이민천,민,1997-10-16,We In The Zone,27/05/2019,Choon,South Korea,,171.0,50.0,Seoul,,,M,29.0
Mina,Kwon Mina,권민아,민아,1993-09-21,,,,South Korea,,159.0,43.0,Busan,,AOA| AOA BLACK,F,33.0
Mina,Kang Mina,강미나,미나,1999-12-04,Gugudan,28/06/2016,Jellyfish,South Korea,,162.0,48.0,Icheon,Gugudan Oguogu,I.O.I,F,27.0
Mina,Myoui Mina,묘이 미나,미나,1997-03-24,Twice,20/10/2015,JYP,Japan,,163.0,,San Antonio,MISAMO,,F,29.0
Minah,Bang Minah,방민아,민아,1993-05-13,Girl's Day,9/07/2010,DreamT,South Korea,,165.0,47.0,Incheon,,,F,33.0
Minchan,Hong Minchan,홍민찬,민찬,1998-09-16,Verivery,1/09/2019,Jellyfish,South Korea,,,,,,,M,28.0
Mingi,Son Mingi,송민기,민기,1999-08-09,ATEEZ,24/10/2018,KQ,South Korea,,183.0,,,,,M,27.0
Mingyu,Kim Mingyu,김민규,민규,1997-04-06,Seventeen,26/05/2015,Pledis,South Korea,,185.0,65.0,Anyang,,,M,29.0
Minha,Park Minha,박민하,민하,1991-06-27,,,,South Korea,,172.0,47.0,Seoul,,9Muses,F,35.0
Minhee,Kang Minhee,강민희,민희,2002-09-17,CRAVITY,14/04/2020,Starship,South Korea,,185.0,58.0,,,X1,M,24.0
Minhee,Joo Minhee,주민희,민희,1993-01-03,Stellar,28/08/2011,Pascal,South Korea,,,,Seoul,,,F,33.0
Minho,Yang Minho,양민호,민호,2002-10-14,8TURN,30/01/2023,MNH,South Korea,,179.0,59.0,,,,M,24.0
Minho,Lee Minho,이민호,민호,1995-09-04,MY.st,26/03/2020,MYStar,South Korea,,,,,,,M,31.0
Minho,Choi Minho,최민호,민호,1991-12-09,SHINee,25/05/2008,SM,South Korea,,181.0,60.0,Incheon,,,M,35.0
Minhwan,Choi Minhwan,최민환,민환,1992-11-11,FTISLAND,7/06/2007,FNC,South Korea,,,,Seoul,,,M,34.0
Minhyuk,Lee Minhyuk,이민혁,민혁,1990-11-29,BtoB,21/03/2012,Cube,South Korea,,173.0,61.0,Seoul,,,M,36.0
Minhyuk,Kang Minhyuk,강민혁,민혁,1991-06-28,CNBLUE,14/01/2010,FNC,South Korea,,,,Ilsan,,,M,35.0
Minhyuk,Kim Minhyuk,김민혁,민혁,1999-11-06,D-CRUNCH,6/08/2018,All-S,South Korea,,,,,,,M,27.0
Minhyuk,Lee Minhyuk,이민혁,민혁,1993-11-03,MONSTA X,14/05/2014,Starship,South Korea,,,,,,,M,33.0
Minhyun,Hwang Minhyun,황민현,민현,1995-08-09,NU'EST,15/03/2012,Pledis,South Korea,,,,Busan,NU'EST,Wanna One,M,31.0
Mini,,,민이,2000-06-12,Purplebeck,24/06/2019,Majesty,South Korea,,168.0,47.0,,,,F,26.0
Minjae,Song Minjae,송민재,민재,2003-08-23,MCND,27/02/2020,TOP Media,South Korea,,,,,,,M,23.0
Minjae,Seong Minjae,성민재,민재,1994-12-18,Sonamoo,29/12/2014,TS,South Korea,,165.0,,Busan,,,F,32.0
Minjae,Jo Minjae,조민재,민재,1994-08-08,Spectrum,9/05/2018,WYNN,South Korea,,,,,,,M,32.0
Minjae,Shin Minjae,신민재,민재,1991-08-13,Tahiti,23/06/2012,J-line,South Korea,,,,Busan,,,F,35.0
Minjae,Kim Minjae,김민재,민재,2003-04-10,xikers,30/03/2023,KQ,South Korea,,,,Seoul,,,M,23.0
Minji,Kim Minji,김민지,민지,2001-01-16,Busters,27/11/2017,JTG,South Korea,,,,,,,F,25.0
Minji,Kim Minji,김민지,민지,2004-05-07,NewJeans,22/07/2022,ADOR,South Korea,,169.0,,Yeongwol,,,F,22.0
Minjoo,Kim Minjoo,김민주,민주,2001-02-05,IZ*ONE,29/10/2018,Off The Record,South Korea,,,,Seoul,,,F,25.0
Minju,Kang Minjoo,강민주,민주,2001-03-11,GWSN,5/09/2018,Kiwi Pop,South Korea,,,,,,,F,25.0
Minjun,Kim Minjun,김민준,민준,1999-02-26,NINE.i,30/03/2022,FirstOne,South Korea,,,,,,,M,27.0
Minjung,Cha Minjung,차민정,민정,2004-07-15,,,,South Korea,,,,,,Busters,F,22.0
Minkyung,Kang Minkyung,강민경,민경,1990-08-03,Davichi,4/02/2008,CJ E&M,South Korea,,,,Goyang,,,F,36.0
Minnie,Nicha Yontararak,니차 욘타라락,민니,1997-10-23,(G)I-DLE,2/05/2018,Cube,Thailand,,,,,,,F,29.0
Mino,Song Minho,송민호,민호,1993-03-30,WINNER,12/08/2014,YG,South Korea,,,,Yongin,,,M,33.0
Minpyo,Gook Minpyo,국민표,민표,1994-11-15,B.I.G,9/07/2014,GH,South Korea,,173.0,57.0,Gwangju,,,M,32.0
Minseo,Kim Minseo,김민서,민서,2002-05-13,DRIPPIN,26/10/2020,Woollim,South Korea,,177.0,53.0,,,,M,24.0
Minseo,Park Minseo,박민서,민서,2003-03-21,Saturday,18/07/2018,SD,South Korea,,163.0,45.0,,,,F,23.0
Minseo,Kim Minseo,김민서,민서,2004-08-12,woo!ah!,15/05/2020,NV,South Korea,,,,,,,F,22.0
Minsu,Park Minsu,김민수,민수,1993-04-15,Boys Republic,3/06/2013,Happy Tribe| Universal,South Korea,,172.0,55.0,Gwangju,,,M,33.0
Minsu,Kim Minsu,김민수,민수,2000-03-20,TOO,1/04/2020,n.CH,South Korea,,,,,,,M,26.0
Minsung,Kim Minhwi,김민휘,민성,1996-12-24,Romeo,4/11/2015,CT,South Korea,,,,,,,M,30.0
Mint,Kunpat Phonpawiworakun,쿤팟 퍼언빠위워라쿤,민트,1994-06-23,Tiny-G,23/08/2012,GNG,Thailand,,150.0,42.0,,,,F,32.0
Minwoo,No Minwoo,노민우,민우,1995-07-31,Boyfriend,26/05/2011,Starship,South Korea,,174.0,60.0,Anyang,,,M,31.0
Minwoo,Lee Minwoo,이민우,민우,1979-07-28,Shinhwa,24/03/1998,SM| Good| Shinhwa,South Korea,,172.0,60.0,Namwon,,,M,47.0
Minwoo,Ha Minwoo,하민우,민우,1990-09-06,ZE:A,7/01/2010,Star Empire,South Korea,,,,Yangsan,,,M,36.0
Minwoo†,Seo Minwoo,서민우,민우,1985-02-08,100%,18/09/2012,TOP Media,South Korea,,,,Daegu,,,M,41.0
Minyoung,Kim Minyeong,김민영,민영,1990-09-12,Brave Girls,8/04/2011,Brave,South Korea,,,,Seongnam,,,F,36.0
Minzy,Kong Minji,공민지,민지,1994-01-18,2NE1,6/05/2009,YG,South Korea,,,,,,,F,32.0
Mir,Lee Yoonsang,이윤상,미르,2000-03-06,Astin,16/11/2022,AB Creative,South Korea,,,,,,,M,26.0
Mir,Bang Cheolyong,방철용,미르,1991-03-10,MBLAQ,14/10/2009,J. Tune,South Korea,,,,Bukhamyeon,,,M,35.0
Mire,Su Mire,수미레,미레,2006-03-26,TRI.BE,17/02/2021,TR - Mellow,Japan,,,,,,,F,20.0
Miryo,Jo Mihye,조미혜,미료,1981-11-02,Brown Eyed Girls,2/03/2006,Mystic,South Korea,,,,,,,F,45.0
Miso,Jeon Jimin,전지민,미소,2000-10-25,Dreamnote,7/11/2018,iME,South Korea,,160.0,43.0,,,,F,26.0
Miso,Park Jihyun,박지현,미소,1996-09-16,P.O.P,26/07/2017,DWM,South Korea,,,,Busan,,,F,30.0
Miso,Park Miso,박미소,미소,1991-04-04,Tahiti,23/06/2012,J-line,South Korea,,,,Gwangju,,,F,35.0
MiU,Ito Miyu,이토 미유,미유,2003-01-09,LIMELIGHT,17/02/2023,143,Japan,,164.0,42.0,Tokyo,,,F,23.0
Miya,Miyauchi Haruka,미야우치 하루카,미야,1993-05-26,GWSN,5/09/2018,Kiwi Pop,Japan,,,,,,,F,33.0
Miyeon,Jo Miyeon,조미연,미연,1997-01-31,(G)I-DLE,2/05/2018,Cube,South Korea,,,,,,,F,29.0
MJ,Kim Myungjun,김명준,엠제이,1994-03-05,ASTRO,23/02/2016,Fantagio,South Korea,,,,Nowon,,,M,32.0
MK,Park Minkyun,박민균,엠케이,1995-11-16,ONF,2/08/2017,WM,South Korea,,,,Ilsan,,,M,31.0
Moko,Sakura Moko,사쿠라 모코,모코,1991-03-19,Honey Popcorn,21/03/2018,Kyun Create,Japan,,,,,,,F,35.0
Momo,Hirai Momo,히라이 모모,모모,1996-11-09,Twice,20/10/2015,JYP,Japan,,167.0,,Kyoto,MISAMO,,F,30.0
Momoka,Matsuda Momoka,마쓰다 모모카,모모카,2000-12-26,Pink Fantasy,28/10/2018,My Doll,Japan,,152.0,,,,,F,26.0
Monday,Kim Jimin,김지민,먼데이,2002-05-10,Weeekly,30/07/2020,Play M,South Korea,,172.0,,,,,F,24.0
Monika,Kang Yeh,강예,모니카,1991-05-21,BADKIZ,24/03/2014,Zoo,South Korea,,,,Seoul,,,F,35.0
Moon Bin,Moon Bin,문빈,문빈,1998-01-26,ASTRO,23/02/2016,Fantagio,South Korea,,,,Cheongju,,,M,28.0
Moon Sua,Moon Sua,문수아,문수아,1999-09-09,Billlie,10/11/2021,MYSTIC,South Korea,,167.0,47.0,Cheongju,,,F,27.0
Moonbyul,Moon Byulyi,문별이,문별,1992-12-22,Mamamoo,18/06/2014,RBW,South Korea,,165.0,45.0,Bucheon,,,F,34.0
Moonhee,Choi Moonhee,최문희,문희,1997-04-15,Bonus Baby,1/01/2017,Maroo,South Korea,,167.0,,,,MyB,F,29.0
Moonvok,Jang Moonvok,장문복,문복,1995-04-11,Limitless,9/07/2019,ONO,South Korea,,168.0,48.0,,,,M,31.0
Mu,Suh Kyungmin,서경민,뮤,2003-09-14,EPEX,8/06/2021,C9,South Korea,,184.0,63.0,,,,M,23.0
Mujin,Ko Sungho,고성호,무진,2000-11-20,Kingdom,18/02/2021,GF,South Korea,,,,,,,M,26.0
Munik,Jang Moonik,장문익,문익,2001-03-20,Dongkiz,24/04/2019,Dongyo,South Korea,,173.0,50.0,,,,M,25.0
Muzin,Kim Hyunwoo,김현우,무진,2001-03-29,BAE173,19/11/2020,PocketDol,South Korea,,,,,,,M,25.0
Myungho,Ji Myungho,지명호,명호,2001-10-12,8TURN,30/01/2023,MNH,South Korea,,177.0,62.0,,,,M,25.0
Myungji,Kim Myungji,김명지,명지,1997-10-09,Tiny-G,23/08/2012,GNG,South Korea,,164.0,,,,,F,29.0
N,Cha Hakyeon,차학연,엔,1990-06-30,VIXX,24/05/2012,Jellyfish,South Korea,,180.0,65.0,Changwon,Big Byung,,M,36.0
Nada,Yoon Yejin,윤예진,나다,1991-05-24,,,,South Korea,,,,,,Wassup,F,35.0
Naeun,Son Naeun,손나은,나은,1994-02-10,,,,South Korea,,168.0,,Seoul,,Apink,F,32.0
Naeun,Lee Naeun,이나은,나은,1999-05-05,APRIL,24/08/2015,DSP,South Korea,,,,Daejeon,,,F,27.0
Nahyun,Kang Nahyun,강나현,나현,2002-01-25,HOT ISSUE,17/05/2017,FNC,South Korea,,,,,,,F,24.0
Nahyun,Kim Nahyun,김나현,나현,1995-12-09,Sonamoo,29/12/2014,TS,South Korea,,170.0,,Seoul,,,F,31.0
